"06_3851"	"06_6554"	"06_7656"	"07_0971"	"07_6215"	"08_0100"	"08_1700"	"08_1711"	"08_1714"	"CE_M_09_1073"	"CE_M_09_3054"	"CE_M_10_4053"	"CE_M_10_4054"	"CE_R_10_0273"	"CE_R_10_0305"	"CE_R_10_0306"	"CE_R_11_0270"	"CE_R2_11_0134"	"CE_R2_11_0350"	"CE_R2_11_0374"	"CGY_HR_076"	"CGY_HR_080"	"CHR_026"	"CHR_028"	"CHR_090"	"CHR_130"	"CI_0136"	"CI_0165"	"CI_0168"	"CI_0182"	"CI_0346"	"CI_0392"	"CI_0405"	"CI_0450"	"CI_0532"	"CI_0637"	"CI_0677"	"CI_0697"	"CI_0765"	"CI_1096"	"CI_1109"	"CI_1653"	"CI_1660"	"CI_1920"	"CI_1943"	"CI_1964"	"CI_1969"	"CI_2009"	"CI_2423"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_2705"	"CI_2989"	"CI_3074"	"CI_4353"	"CI_4835"	"CI_5997"
"CE_M_09_3054"	0.440224633526817	0.738998408071134	0.44609771238806	0.449971794321834	0.461562102677545	0.523936224425968	0.524790904914636	0.527293088657173	0.528609674656427	0.786899843238839	1	0.708881585881554	0.708881585881554	0.543822259631635	0.542505673632381	0.542505673632381	0.513997404104082	0.524389629955905	0.496586333174497	0.495620129110454	0.239295629013416	0.239321548773339	0.232470391875048	0.232554989094646	0.240784431391339	0.240731736367233	0.528063305793407	0.528063305793407	0.528063305793407	0.528187746540972	0.493377573273751	0.400359185025188	0.321186583361217	0.461857004733638	0.326425061922241	0.401707833853052	0.462887988046363	0.327195948909069	0.463811090649725	0.540232136727621	0.540406335157653	0.343199240500883	0.365073994777225	0.482251483938972	0.342380721020111	0.480464204737673	0.480464204737673	0.48330177977847	0.394698591801396	0.352182978569138	0.352182978569138	0.346343159664835	0.347496409433915	0.363341705035614	0.367026263447534	0.562570219081966	0.453879501937775	0.44309680880438
"CE_M_10_4053"	0.44875936779187	0.659447480605899	0.452966323760009	0.455636535875588	0.463092160086662	0.527093646166372	0.575252542681906	0.529187752547043	0.577608760337911	0.734129625542824	0.708881585881554	1	1	0.757696028357	0.719741924484265	0.672122876865217	0.603769563254244	0.625116168668962	0.588763549565412	0.58693724263974	0.250708353565672	0.25072883887931	0.245364375490664	0.245433919256629	0.252059247144584	0.252017743986595	0.452994802804766	0.452994802804766	0.452994802804766	0.453097453623918	0.458603358136486	0.384605848562344	0.333954496413077	0.481732634804755	0.339106487260731	0.385708900393805	0.523050773238544	0.33973556057738	0.483324801803891	0.463275185136709	0.463326445107779	0.352732656095691	0.374542960008479	0.498071081060868	0.351001077580482	0.536684691054093	0.536684691054093	0.49898894755133	0.402154327706354	0.359393589704688	0.359393589704688	0.353553770800385	0.354365020805863	0.364721743098051	0.36690715359478	0.520334349909071	0.4555564229927	0.437990316746625
"CE_M_10_4054"	0.44875936779187	0.659447480605899	0.452966323760009	0.455636535875588	0.463092160086662	0.527093646166372	0.575252542681906	0.529187752547043	0.577608760337911	0.734129625542824	0.708881585881554	1	1	0.757696028357	0.719741924484265	0.672122876865217	0.603769563254244	0.625116168668962	0.588763549565412	0.58693724263974	0.250708353565672	0.25072883887931	0.245364375490664	0.245433919256629	0.252059247144584	0.252017743986595	0.452994802804766	0.452994802804766	0.452994802804766	0.453097453623918	0.458603358136486	0.384605848562344	0.333954496413077	0.481732634804755	0.339106487260731	0.385708900393805	0.523050773238544	0.33973556057738	0.483324801803891	0.463275185136709	0.463326445107779	0.352732656095691	0.374542960008479	0.498071081060868	0.351001077580482	0.536684691054093	0.536684691054093	0.49898894755133	0.402154327706354	0.359393589704688	0.359393589704688	0.353553770800385	0.354365020805863	0.364721743098051	0.36690715359478	0.520334349909071	0.4555564229927	0.437990316746625
"CE_R_10_0273"	0.527121922610207	0.494953037820801	0.531304171181679	0.533957210958942	0.541357934413679	0.691094586022335	0.739249371220878	0.693172411247565	0.741586941336243	0.568961074030913	0.543822259631635	0.757696028357	0.757696028357	1	0.900985601280127	0.85336655366108	0.768680606198695	0.790513633953815	0.753769072039074	0.751908251794605	0.329116301046218	0.329136697269061	0.323797102052014	0.323866388961818	0.330464937838563	0.330423617513906	0.288572656183273	0.288572656183273	0.288572656183273	0.28867493389585	0.294178103565344	0.284465852687243	0.302861265549631	0.317305473222398	0.23896416807255	0.285564735563225	0.35862040778186	0.239590839661217	0.31889152055903	0.298821507051745	0.298870769711503	0.252539134836233	0.274348435393872	0.333578650819742	0.319841122925769	0.372191115566375	0.372191115566375	0.334494504766232	0.301929326426349	0.259164989753027	0.259164989753027	0.253325170848724	0.254131439656105	0.264414209810668	0.26658125490293	0.356822247587562	0.344276989746674	0.326475871506357
"CE_R_10_0305"	0.526759168462548	0.494590534024967	0.530898871010434	0.533522384971138	0.54082895897068	0.690601373366777	0.738749112462936	0.692651307717941	0.741054750129546	0.567464397201103	0.542505673632381	0.719741924484265	0.719741924484265	0.900985601280127	1	0.952380952380953	0.769800655074898	0.792542173972425	0.755062953740511	0.753138488271288	0.328831912075534	0.328852154240037	0.323555600568095	0.323624442515842	0.330176646675916	0.330135642463095	0.288335086907404	0.288335086907404	0.288335086907404	0.288436718168634	0.293935149934725	0.284222109874554	0.302616043428326	0.317059216401184	0.238716401174981	0.285313772413481	0.358368602467583	0.239338913576098	0.318634666786203	0.298529367692569	0.298575177910212	0.252202856071621	0.274010425441091	0.333219616012953	0.319480609572706	0.371830106654668	0.371830106654668	0.334132000970397	0.301538792109229	0.258768261045952	0.258768261045952	0.252928442141649	0.253726139484859	0.263882018603971	0.266017656414543	0.358215680715619	0.345397038622877	0.327168851515026
"CE_R_10_0306"	0.526759168462548	0.494590534024967	0.530898871010434	0.533522384971138	0.54082895897068	0.738220420985825	0.691130064843888	0.740270355336989	0.693435702510499	0.615083444820151	0.542505673632381	0.672122876865217	0.672122876865217	0.85336655366108	0.952380952380953	1	0.722181607455851	0.744923126353378	0.707443906121464	0.705519440652241	0.328831912075534	0.328852154240037	0.323555600568095	0.323624442515842	0.330176646675916	0.330135642463095	0.288335086907404	0.288335086907404	0.288335086907404	0.288436718168634	0.293935149934725	0.284222109874554	0.302616043428326	0.269440168782136	0.210144972603553	0.285313772413481	0.310749554848536	0.21076748500467	0.271015619167155	0.298529367692569	0.298575177910212	0.223631427500193	0.245438996869663	0.285600568393906	0.319480609572706	0.324211059035621	0.324211059035621	0.28651295335135	0.2729673635378	0.230196832474524	0.230196832474524	0.224357013570221	0.225154710913431	0.235310590032543	0.237446227843114	0.358215680715619	0.345397038622877	0.327168851515026
"CE_R_11_0270"	0.516413136566509	0.484250712877708	0.519512597874811	0.521431469776973	0.526579098211529	0.677156394051453	0.725144119884352	0.678577071584946	0.726733391167824	0.536369848265924	0.513997404104082	0.603769563254244	0.603769563254244	0.768680606198695	0.769800655074898	0.722181607455851	1	0.799382669295146	0.824316250305853	0.839528835281061	0.320484114331306	0.320500317678997	0.316350066418104	0.316406870139774	0.321726687295445	0.321693948330893	0.281236111133572	0.281236111133572	0.281236111133572	0.281320202728721	0.286690343466417	0.276955978379759	0.295309972359073	0.309725235846573	0.231341727168273	0.277853116673785	0.350885325807968	0.231852394116573	0.311016082042265	0.289978942371004	0.28993485583019	0.242519622989878	0.264283478853219	0.322965964098886	0.309190205586511	0.361527392993126	0.361527392993126	0.323792179823139	0.290510149343032	0.247589157139293	0.247589157139293	0.241749338234989	0.242339866349237	0.249560659642249	0.251005386122303	0.410431206990914	0.575596383547979	0.362998564956638
"CE_R2_11_0134"	0.520766224494277	0.488601394378027	0.524265303755742	0.526451003682883	0.532396887129563	0.682679966022203	0.73072650232596	0.684331003927362	0.732577122148689	0.547469627111983	0.524389629955905	0.625116168668962	0.625116168668962	0.790513633953815	0.792542173972425	0.744923126353378	0.799382669295146	1	0.792526608132712	0.787516663709538	0.324050324115045	0.324068143564915	0.31945501124702	0.319516719897438	0.325333744229737	0.325297703063665	0.284297598494894	0.284297598494894	0.284297598494894	0.284388848278818	0.289811286208765	0.280085603896096	0.298455851944791	0.312882467568218	0.234515501906051	0.28106181035587	0.354103198413889	0.23507158228867	0.314288790158914	0.293626103385017	0.293617847225846	0.246614523503852	0.268395493386977	0.327283233137297	0.313521731132672	0.365863691678422	0.365863691678422	0.328142861323457	0.29512623773783	0.252262820892622	0.252262820892622	0.246423001988319	0.247092572230168	0.255404390623114	0.257098184028485	0.401092913274383	0.374979052843124	0.342506541144315
"CE_R2_11_0350"	0.497428771137734	0.465265682745534	0.500638187566243	0.502630005597977	0.507993620777464	0.65849169915337	0.706495295929728	0.659974439422796	0.708154876832274	0.519131050752723	0.496586333174497	0.588763549565412	0.588763549565412	0.753769072039074	0.755062953740511	0.707443906121464	0.824316250305853	0.792526608132712	1	0.885773016304919	0.301280747667687	0.301297404205584	0.29701677583764	0.297074967165313	0.302534770752796	0.302501106460725	0.261890520737747	0.261890520737747	0.261890520737747	0.261976639025739	0.267361578221321	0.257629668654691	0.275988258248376	0.330882921025332	0.212027896699915	0.258549148965152	0.331583949567972	0.212551389260669	0.332206368410723	0.270798258928385	0.270764201120679	0.223463764904599	0.245232370691057	0.344447892063495	0.290199883096039	0.34253838939633	0.34253838939633	0.345283340167156	0.271598244126316	0.228693065657692	0.228693065657692	0.222853246753389	0.223465456040668	0.2309821453067	0.232493544686129	0.433508353105881	0.428484062425261	0.363933012508244
"CE_R2_11_0374"	0.497006189104889	0.464843327242285	0.500178096620549	0.502144990612926	0.507434620815789	0.657959867183282	0.705958023965898	0.659421325950956	0.707593487041843	0.518104412275029	0.495620129110454	0.58693724263974	0.58693724263974	0.751908251794605	0.753138488271288	0.705519440652241	0.839528835281061	0.787516663709538	0.885773016304919	1	0.300932657752728	0.30094916043652	0.296712743353591	0.2967704646742	0.302182793245781	0.302149443153811	0.26159065391945	0.26159065391945	0.26159065391945	0.26167608587514	0.267056012882559	0.257323271513046	0.275680304254101	0.330573879909176	0.211717271676687	0.258235181852666	0.331269104215507	0.212236418044104	0.33188627877032	0.270442466751648	0.270405002630147	0.223065532269767	0.244832521247666	0.34402868266322	0.289779331123579	0.342117387986741	0.342117387986741	0.344860984663906	0.271150951930563	0.228240376528494	0.228240376528494	0.222400557624191	0.223005365094974	0.230420755516269	0.231909257111437	0.413070815376985	0.443696647400469	0.366240902094087
