"Var1"	"Var2"	"value"
"165"	"Turkey_Retail"	"Turkey_Retail"	0
"166"	"Duck_Farm"	"Turkey_Retail"	0.208
"167"	"Goose_Farm"	"Turkey_Retail"	0.208
"168"	"Cow_Abattoir"	"Turkey_Retail"	0.296
"169"	"Cow_Farm"	"Turkey_Retail"	0.352
"170"	"Cow_Retail"	"Turkey_Retail"	0.184
"171"	"Pig_Farm"	"Turkey_Retail"	0.288
"172"	"Pig_Retail"	"Turkey_Retail"	0.12
"173"	"Goat_Farm"	"Turkey_Retail"	0.24
"174"	"Sheep_Farm"	"Turkey_Retail"	0.24
"175"	"Sheep_Retail"	"Turkey_Retail"	0.12
"176"	"Donkey"	"Turkey_Retail"	0.392
"177"	"Horse"	"Turkey_Retail"	0.392
"178"	"Llama"	"Turkey_Retail"	0.392
"179"	"Seagull"	"Turkey_Retail"	0.48
"180"	"Raccoon"	"Turkey_Retail"	0.512
"181"	"Wildbird"	"Turkey_Retail"	0.504
"182"	"Cat"	"Turkey_Retail"	0.504
"183"	"Dog"	"Turkey_Retail"	0.504
"184"	"Bear"	"Turkey_Retail"	0.424
"185"	"Rat"	"Turkey_Retail"	0.408
"186"	"Skunk"	"Turkey_Retail"	0.432
"187"	"Deer"	"Turkey_Retail"	0.52
"188"	"Soil_Farm"	"Turkey_Retail"	0.448
"189"	"Soil_Forest"	"Turkey_Retail"	0.624
"190"	"Water_Sewage"	"Turkey_Retail"	0.64
"191"	"Water_Surface"	"Turkey_Retail"	0.68
"192"	"Farm.Lagoon"	"Turkey_Retail"	0.432
"193"	"Human_Urban"	"Turkey_Retail"	0.52
"194"	"Human_FarmWorker"	"Turkey_Retail"	0.648
"195"	"Human_AbattoirWorker"	"Turkey_Retail"	0.632
"196"	"Farm.Manure"	"Turkey_Retail"	0.496
"197"	"Food.Produce"	"Turkey_Retail"	0.4
"198"	"Flies"	"Turkey_Retail"	0.592
"199"	"Food.Milk"	"Turkey_Retail"	0.28
"200"	"Sand_Beach"	"Turkey_Retail"	0.776
"201"	"Chicken_Abattoir"	"Duck_Farm"	0.216
"202"	"Chicken_Farm"	"Duck_Farm"	0.04
"203"	"Chicken_Retail"	"Duck_Farm"	0.208
"204"	"Turkey_Farm"	"Duck_Farm"	0.04
"205"	"Turkey_Retail"	"Duck_Farm"	0.208
"206"	"Duck_Farm"	"Duck_Farm"	0
"207"	"Goose_Farm"	"Duck_Farm"	0.04
"208"	"Cow_Abattoir"	"Duck_Farm"	0.296
"209"	"Cow_Farm"	"Duck_Farm"	0.184
"210"	"Cow_Retail"	"Duck_Farm"	0.352
"211"	"Pig_Farm"	"Duck_Farm"	0.12
"212"	"Pig_Retail"	"Duck_Farm"	0.288
"213"	"Goat_Farm"	"Duck_Farm"	0.2
"214"	"Sheep_Farm"	"Duck_Farm"	0.2
"215"	"Sheep_Retail"	"Duck_Farm"	0.288
"216"	"Donkey"	"Duck_Farm"	0.48
"217"	"Horse"	"Duck_Farm"	0.48
"218"	"Llama"	"Duck_Farm"	0.48
"219"	"Seagull"	"Duck_Farm"	0.48
"220"	"Raccoon"	"Duck_Farm"	0.544
"221"	"Wildbird"	"Duck_Farm"	0.504
"222"	"Cat"	"Duck_Farm"	0.544
"223"	"Dog"	"Duck_Farm"	0.544
"224"	"Bear"	"Duck_Farm"	0.424
"225"	"Rat"	"Duck_Farm"	0.44
"226"	"Skunk"	"Duck_Farm"	0.448
"227"	"Deer"	"Duck_Farm"	0.52
"228"	"Soil_Farm"	"Duck_Farm"	0.448
"229"	"Soil_Forest"	"Duck_Farm"	0.624
"230"	"Water_Sewage"	"Duck_Farm"	0.68
"231"	"Water_Surface"	"Duck_Farm"	0.696
"232"	"Farm.Lagoon"	"Duck_Farm"	0.432
"233"	"Human_Urban"	"Duck_Farm"	0.64
"234"	"Human_FarmWorker"	"Duck_Farm"	0.592
"235"	"Human_AbattoirWorker"	"Duck_Farm"	0.688
"236"	"Farm.Manure"	"Duck_Farm"	0.496
"237"	"Food.Produce"	"Duck_Farm"	0.4
"238"	"Flies"	"Duck_Farm"	0.592
"239"	"Food.Milk"	"Duck_Farm"	0.352
"240"	"Sand_Beach"	"Duck_Farm"	0.792
"241"	"Chicken_Abattoir"	"Goose_Farm"	0.216
"242"	"Chicken_Farm"	"Goose_Farm"	0.04
"243"	"Chicken_Retail"	"Goose_Farm"	0.208
"244"	"Turkey_Farm"	"Goose_Farm"	0.04
"245"	"Turkey_Retail"	"Goose_Farm"	0.208
"246"	"Duck_Farm"	"Goose_Farm"	0.04
"247"	"Goose_Farm"	"Goose_Farm"	0
"248"	"Cow_Abattoir"	"Goose_Farm"	0.296
"249"	"Cow_Farm"	"Goose_Farm"	0.184
"250"	"Cow_Retail"	"Goose_Farm"	0.352
"251"	"Pig_Farm"	"Goose_Farm"	0.12
"252"	"Pig_Retail"	"Goose_Farm"	0.288
"253"	"Goat_Farm"	"Goose_Farm"	0.2
"254"	"Sheep_Farm"	"Goose_Farm"	0.2
"255"	"Sheep_Retail"	"Goose_Farm"	0.288
"256"	"Donkey"	"Goose_Farm"	0.48
"257"	"Horse"	"Goose_Farm"	0.48
"258"	"Llama"	"Goose_Farm"	0.48
"259"	"Seagull"	"Goose_Farm"	0.48
"260"	"Raccoon"	"Goose_Farm"	0.544
"261"	"Wildbird"	"Goose_Farm"	0.504
"262"	"Cat"	"Goose_Farm"	0.544
"263"	"Dog"	"Goose_Farm"	0.544
"264"	"Bear"	"Goose_Farm"	0.424
"265"	"Rat"	"Goose_Farm"	0.44
"266"	"Skunk"	"Goose_Farm"	0.448
"267"	"Deer"	"Goose_Farm"	0.52
"268"	"Soil_Farm"	"Goose_Farm"	0.448
"269"	"Soil_Forest"	"Goose_Farm"	0.624
"270"	"Water_Sewage"	"Goose_Farm"	0.68
"271"	"Water_Surface"	"Goose_Farm"	0.696
"272"	"Farm.Lagoon"	"Goose_Farm"	0.432
"273"	"Human_Urban"	"Goose_Farm"	0.64
"274"	"Human_FarmWorker"	"Goose_Farm"	0.592
"275"	"Human_AbattoirWorker"	"Goose_Farm"	0.688
"276"	"Farm.Manure"	"Goose_Farm"	0.496
"277"	"Food.Produce"	"Goose_Farm"	0.4
"278"	"Flies"	"Goose_Farm"	0.592
"279"	"Food.Milk"	"Goose_Farm"	0.352
"280"	"Sand_Beach"	"Goose_Farm"	0.792
"281"	"Chicken_Abattoir"	"Cow_Abattoir"	0.248
"282"	"Chicken_Farm"	"Cow_Abattoir"	0.296
"283"	"Chicken_Retail"	"Cow_Abattoir"	0.296
"284"	"Turkey_Farm"	"Cow_Abattoir"	0.296
"285"	"Turkey_Retail"	"Cow_Abattoir"	0.296
"286"	"Duck_Farm"	"Cow_Abattoir"	0.296
"287"	"Goose_Farm"	"Cow_Abattoir"	0.296
"288"	"Cow_Abattoir"	"Cow_Abattoir"	0
"289"	"Cow_Farm"	"Cow_Abattoir"	0.168
"290"	"Cow_Retail"	"Cow_Abattoir"	0.168
"291"	"Pig_Farm"	"Cow_Abattoir"	0.296
"292"	"Pig_Retail"	"Cow_Abattoir"	0.296
"293"	"Goat_Farm"	"Cow_Abattoir"	0.24
"294"	"Sheep_Farm"	"Cow_Abattoir"	0.24
"295"	"Sheep_Retail"	"Cow_Abattoir"	0.216
"296"	"Donkey"	"Cow_Abattoir"	0.432
"297"	"Horse"	"Cow_Abattoir"	0.432
"298"	"Llama"	"Cow_Abattoir"	0.432
"299"	"Seagull"	"Cow_Abattoir"	0.512
"300"	"Raccoon"	"Cow_Abattoir"	0.48
"301"	"Wildbird"	"Cow_Abattoir"	0.536
"302"	"Cat"	"Cow_Abattoir"	0.568
"303"	"Dog"	"Cow_Abattoir"	0.568
"304"	"Bear"	"Cow_Abattoir"	0.488
"305"	"Rat"	"Cow_Abattoir"	0.488
"306"	"Skunk"	"Cow_Abattoir"	0.512
"307"	"Deer"	"Cow_Abattoir"	0.544
"308"	"Soil_Farm"	"Cow_Abattoir"	0.344
