"A_AvianAbbatoirA_Chicken" "A_AvianFaecalA_Chicken" "A_AvianRetailA_Chicken" "A_AvianFaecalA_Duck" "A_AvianFaecalA_Goose" "A_AvianFaecalA_Pelican" "A_AvianFaecalA_Seagull" "A_AvianFaecalA_Sparrow" "A_AvianFaecalA_Turkey" "A_AvianRetailA_Turkey" "A_AvianFaecalA_Wild_Bird" "A_CompanionFaecalA_Cat" "A_CompanionFaecalA_Dog" "A_EquineFaecalA_Donkey" "A_EquineFaecalA_Horse" "A_MiscDomesticFaecalA_Llama/Alpaca" "A_MiscWildFaecalA_Bear" "A_MiscWildFaecalA_Marmot" "A_MiscWildFaecalA_Peromyscus" "A_MiscWildFaecalA_Raccoon" "A_MiscWildFaecalA_Rattus" "A_MiscWildFaecalA_Skunk" "A_MiscWildFaecalA_Small_Mammal" "A_PorcineFaecalA_Pig" "A_PorcineRetailA_Pig" "A_RuminantFaecalA_Buffalo" "A_RuminantAbbatoirA_Cow" "A_RuminantFaecalA_Cow" "A_RuminantRetailA_Cow" "A_RuminantFaecalA_Deer" "A_RuminantFaecalA_Goat" "A_RuminantFaecalA_Sheep" "A_RuminantRetailA_Sheep" "E_LagoonLagoonE_Lagoon" "E_SandMisc_EnvironmentalE_Sand" "E_SewageSewageE_Sewage" "E_WaterWaterE_Water" "HumanClinicalHuman"
"A_AvianFaecalA_Wild_Bird" 0.439473684210526 0.673684210526316 0.484210526315789 0.736842105263158 0.718421052631579 0.894736842105263 0.723684210526316 0.805263157894737 0.7 0.431578947368421 1 0.521052631578947 0.521052631578947 0.610526315789474 0.523684210526316 0.576315789473684 0.744736842105263 0.7 0.7 0.557894736842105 0.744736842105263 0.744736842105263 0.744736842105263 0.418421052631579 0.318421052631579 0.478947368421053 0.378947368421053 0.515789473684211 0.371052631578947 0.797368421052632 0.557894736842105 0.557894736842105 0.386842105263158 0.597368421052632 0.747368421052632 0.623684210526316 0.694736842105263 0.376315789473684
"A_CompanionFaecalA_Cat" 0.55 0.647368421052632 0.684210526315789 0.542105263157895 0.586842105263158 0.521052631578947 0.665789473684211 0.568421052631579 0.673684210526316 0.631578947368421 0.521052631578947 1 1 0.689473684210526 0.602631578947368 0.523684210526316 0.476315789473684 0.521052631578947 0.521052631578947 0.594736842105263 0.476315789473684 0.476315789473684 0.476315789473684 0.676315789473684 0.623684210526316 0.515789473684211 0.594736842105263 0.594736842105263 0.676315789473684 0.423684210526316 0.557894736842105 0.557894736842105 0.628947368421053 0.344736842105263 0.378947368421053 0.676315789473684 0.505263157894737 0.402631578947368
"A_CompanionFaecalA_Dog" 0.55 0.647368421052632 0.684210526315789 0.542105263157895 0.586842105263158 0.521052631578947 0.665789473684211 0.568421052631579 0.673684210526316 0.631578947368421 0.521052631578947 1 1 0.689473684210526 0.602631578947368 0.523684210526316 0.476315789473684 0.521052631578947 0.521052631578947 0.594736842105263 0.476315789473684 0.476315789473684 0.476315789473684 0.676315789473684 0.623684210526316 0.515789473684211 0.594736842105263 0.594736842105263 0.676315789473684 0.423684210526316 0.557894736842105 0.557894736842105 0.628947368421053 0.344736842105263 0.378947368421053 0.676315789473684 0.505263157894737 0.402631578947368
"A_EquineFaecalA_Donkey" 0.502631578947368 0.868421052631579 0.547368421052632 0.673684210526316 0.718421052631579 0.610526315789474 0.639473684210526 0.584210526315789 0.805263157894737 0.494736842105263 0.610526315789474 0.689473684210526 0.689473684210526 1 0.913157894736842 0.834210526315789 0.55 0.505263157894737 0.505263157894737 0.621052631578947 0.55 0.55 0.55 0.628947368421053 0.486842105263158 0.8 0.610526315789474 0.878947368421053 0.602631578947368 0.665789473684211 0.773684210526316 0.773684210526316 0.486842105263158 0.444736842105263 0.531578947368421 0.597368421052632 0.515789473684211 0.560526315789474
"A_EquineFaecalA_Horse" 0.478947368421053 0.85 0.523684210526316 0.655263157894737 0.7 0.565789473684211 0.594736842105263 0.497368421052632 0.718421052631579 0.471052631578947 0.523684210526316 0.602631578947368 0.602631578947368 0.913157894736842 1 0.921052631578947 0.610526315789474 0.565789473684211 0.565789473684211 0.681578947368421 0.610526315789474 0.610526315789474 0.610526315789474 0.715789473684211 0.505263157894737 0.886842105263158 0.628947368421053 0.860526315789474 0.515789473684211 0.621052631578947 0.755263157894737 0.755263157894737 0.463157894736842 0.4 0.486842105263158 0.578947368421053 0.471052631578947 0.578947368421053
"A_MiscDomesticFaecalA_Llama/Alpaca" 0.468421052631579 0.771052631578947 0.513157894736842 0.618421052631579 0.663157894736842 0.618421052631579 0.584210526315789 0.55 0.639473684210526 0.460526315789474 0.576315789473684 0.523684210526316 0.523684210526316 0.834210526315789 0.921052631578947 1 0.663157894736842 0.618421052631579 0.618421052631579 0.760526315789474 0.663157894736842 0.663157894736842 0.663157894736842 0.636842105263158 0.494736842105263 0.876315789473684 0.618421052631579 0.781578947368421 0.505263157894737 0.673684210526316 0.744736842105263 0.744736842105263 0.542105263157895 0.452631578947368 0.539473684210526 0.631578947368421 0.523684210526316 0.589473684210526
"A_MiscWildFaecalA_Bear" 0.247368421052632 0.55 0.292105263157895 0.523684210526316 0.505263157894737 0.85 0.573684210526316 0.613157894736842 0.444736842105263 0.239473684210526 0.744736842105263 0.476315789473684 0.476315789473684 0.55 0.610526315789474 0.663157894736842 1 0.955263157894737 0.955263157894737 0.813157894736842 1 1 1 0.415789473684211 0.273684210526316 0.565789473684211 0.33421052631579 0.497368421052632 0.221052631578947 0.842105263157895 0.539473684210526 0.539473684210526 0.3 0.489473684210526 0.728947368421053 0.515789473684211 0.586842105263158 0.421052631578947
"A_MiscWildFaecalA_Marmot" 0.292105263157895 0.505263157894737 0.336842105263158 0.478947368421053 0.460526315789474 0.805263157894737 0.528947368421053 0.657894736842105 0.4 0.284210526315789 0.7 0.521052631578947 0.521052631578947 0.505263157894737 0.565789473684211 0.618421052631579 0.955263157894737 1 1 0.768421052631579 0.955263157894737 0.955263157894737 0.955263157894737 0.460526315789474 0.318421052631579 0.521052631578947 0.378947368421053 0.452631578947368 0.265789473684211 0.797368421052632 0.494736842105263 0.494736842105263 0.344736842105263 0.471052631578947 0.684210526315789 0.497368421052632 0.568421052631579 0.376315789473684
"A_MiscWildFaecalA_Peromyscus" 0.292105263157895 0.505263157894737 0.336842105263158 0.478947368421053 0.460526315789474 0.805263157894737 0.528947368421053 0.657894736842105 0.4 0.284210526315789 0.7 0.521052631578947 0.521052631578947 0.505263157894737 0.565789473684211 0.618421052631579 0.955263157894737 1 1 0.768421052631579 0.955263157894737 0.955263157894737 0.955263157894737 0.460526315789474 0.318421052631579 0.521052631578947 0.378947368421053 0.452631578947368 0.265789473684211 0.797368421052632 0.494736842105263 0.494736842105263 0.344736842105263 0.471052631578947 0.684210526315789 0.497368421052632 0.568421052631579 0.376315789473684
"A_MiscWildFaecalA_Raccoon" 0.344736842105263 0.621052631578947 0.478947368421053 0.531578947368421 0.513157894736842 0.663157894736842 0.718421052631579 0.531578947368421 0.515789473684211 0.426315789473684 0.557894736842105 0.594736842105263 0.594736842105263 0.621052631578947 0.681578947368421 0.760526315789474 0.813157894736842 0.768421052631579 0.768421052631579 1 0.813157894736842 0.813157894736842 0.813157894736842 0.486842105263158 0.460526315789474 0.663157894736842 0.431578947368421 0.568421052631579 0.407894736842105 0.655263157894737 0.594736842105263 0.594736842105263 0.444736842105263 0.365789473684211 0.542105263157895 0.571052631578947 0.463157894736842 0.528947368421053
