"A_AvianAbbatoirA_Chicken" "A_AvianFaecalA_Chicken" "A_AvianRetailA_Chicken" "A_AvianFaecalA_Duck" "A_AvianFaecalA_Goose" "A_AvianFaecalA_Pelican" "A_AvianFaecalA_Seagull" "A_AvianFaecalA_Sparrow" "A_AvianFaecalA_Turkey" "A_AvianRetailA_Turkey" "A_AvianFaecalA_Wild_Bird" "A_CompanionFaecalA_Cat" "A_CompanionFaecalA_Dog" "A_EquineFaecalA_Donkey" "A_EquineFaecalA_Horse" "A_MiscDomesticFaecalA_Llama/Alpaca" "A_MiscWildFaecalA_Bear" "A_MiscWildFaecalA_Marmot" "A_MiscWildFaecalA_Peromyscus" "A_MiscWildFaecalA_Raccoon" "A_MiscWildFaecalA_Rattus" "A_MiscWildFaecalA_Skunk" "A_MiscWildFaecalA_Small_Mammal" "A_PorcineFaecalA_Pig" "A_PorcineRetailA_Pig" "A_RuminantFaecalA_Buffalo" "A_RuminantAbbatoirA_Cow" "A_RuminantFaecalA_Cow" "A_RuminantRetailA_Cow" "A_RuminantFaecalA_Deer" "A_RuminantFaecalA_Goat" "A_RuminantFaecalA_Sheep" "A_RuminantRetailA_Sheep" "E_LagoonLagoonE_Lagoon" "E_SandMisc_EnvironmentalE_Sand" "E_SewageSewageE_Sewage" "E_WaterWaterE_Water" "HumanClinicalHuman"
"A_AvianFaecalA_Wild_Bird" 0.439473684210526 0.610526315789474 0.378947368421053 0.673684210526316 0.726315789473684 1 0.776315789473684 1 0.655263157894737 0.378947368421053 1 0.521052631578947 0.521052631578947 0.610526315789474 0.565789473684211 0.618421052631579 0.85 0.805263157894737 0.805263157894737 0.663157894736842 0.85 0.85 0.85 0.460526315789474 0.273684210526316 0.521052631578947 0.33421052631579 0.505263157894737 0.273684210526316 0.85 0.547368421052632 0.547368421052632 0.289473684210526 0.605263157894737 0.8 0.568421052631579 0.747368421052632 0.271052631578947
"A_CompanionFaecalA_Cat" 0.55 0.584210526315789 0.578947368421053 0.584210526315789 0.531578947368421 0.521052631578947 0.718421052631579 0.521052631578947 0.628947368421053 0.578947368421053 0.521052631578947 1 1 0.689473684210526 0.644736842105263 0.565789473684211 0.581578947368421 0.626315789473684 0.626315789473684 0.7 0.581578947368421 0.581578947368421 0.581578947368421 0.718421052631579 0.578947368421053 0.557894736842105 0.55 0.584210526315789 0.578947368421053 0.476315789473684 0.547368421052632 0.547368421052632 0.621052631578947 0.442105263157895 0.431578947368421 0.710526315789474 0.557894736842105 0.360526315789474
"A_CompanionFaecalA_Dog" 0.55 0.584210526315789 0.578947368421053 0.584210526315789 0.531578947368421 0.521052631578947 0.718421052631579 0.521052631578947 0.628947368421053 0.578947368421053 0.521052631578947 1 1 0.689473684210526 0.644736842105263 0.565789473684211 0.581578947368421 0.626315789473684 0.626315789473684 0.7 0.581578947368421 0.581578947368421 0.581578947368421 0.718421052631579 0.578947368421053 0.557894736842105 0.55 0.584210526315789 0.578947368421053 0.476315789473684 0.547368421052632 0.547368421052632 0.621052631578947 0.442105263157895 0.431578947368421 0.710526315789474 0.557894736842105 0.360526315789474
"A_EquineFaecalA_Donkey" 0.502631578947368 0.805263157894737 0.442105263157895 0.715789473684211 0.663157894736842 0.610526315789474 0.692105263157895 0.610526315789474 0.760526315789474 0.442105263157895 0.610526315789474 0.689473684210526 0.689473684210526 1 0.955263157894737 0.876315789473684 0.655263157894737 0.610526315789474 0.610526315789474 0.726315789473684 0.655263157894737 0.655263157894737 0.655263157894737 0.671052631578947 0.442105263157895 0.842105263157895 0.565789473684211 0.868421052631579 0.505263157894737 0.718421052631579 0.763157894736842 0.763157894736842 0.478947368421053 0.542105263157895 0.584210526315789 0.631578947368421 0.568421052631579 0.518421052631579
"A_EquineFaecalA_Horse" 0.521052631578947 0.85 0.460526315789474 0.760526315789474 0.707894736842105 0.565789473684211 0.647368421052632 0.565789473684211 0.805263157894737 0.460526315789474 0.565789473684211 0.644736842105263 0.644736842105263 0.955263157894737 1 0.921052631578947 0.610526315789474 0.565789473684211 0.565789473684211 0.681578947368421 0.610526315789474 0.610526315789474 0.610526315789474 0.715789473684211 0.460526315789474 0.886842105263158 0.584210526315789 0.913157894736842 0.523684210526316 0.673684210526316 0.807894736842105 0.807894736842105 0.497368421052632 0.497368421052632 0.539473684210526 0.676315789473684 0.523684210526316 0.536842105263158
"A_MiscDomesticFaecalA_Llama/Alpaca" 0.510526315789474 0.771052631578947 0.45 0.681578947368421 0.671052631578947 0.618421052631579 0.636842105263158 0.618421052631579 0.726315789473684 0.45 0.618421052631579 0.565789473684211 0.565789473684211 0.876315789473684 0.921052631578947 1 0.663157894736842 0.618421052631579 0.618421052631579 0.760526315789474 0.663157894736842 0.663157894736842 0.663157894736842 0.636842105263158 0.45 0.876315789473684 0.573684210526316 0.834210526315789 0.513157894736842 0.726315789473684 0.797368421052632 0.797368421052632 0.486842105263158 0.460526315789474 0.592105263157895 0.639473684210526 0.576315789473684 0.484210526315789
"A_MiscWildFaecalA_Bear" 0.289473684210526 0.55 0.228947368421053 0.523684210526316 0.576315789473684 0.85 0.626315789473684 0.85 0.505263157894737 0.228947368421053 0.85 0.581578947368421 0.581578947368421 0.655263157894737 0.610526315789474 0.663157894736842 1 0.955263157894737 0.955263157894737 0.813157894736842 1 1 1 0.415789473684211 0.228947368421053 0.565789473684211 0.289473684210526 0.55 0.228947368421053 0.894736842105263 0.592105263157895 0.592105263157895 0.244736842105263 0.497368421052632 0.781578947368421 0.523684210526316 0.639473684210526 0.315789473684211
"A_MiscWildFaecalA_Marmot" 0.33421052631579 0.505263157894737 0.273684210526316 0.478947368421053 0.531578947368421 0.805263157894737 0.581578947368421 0.805263157894737 0.460526315789474 0.273684210526316 0.805263157894737 0.626315789473684 0.626315789473684 0.610526315789474 0.565789473684211 0.618421052631579 0.955263157894737 1 1 0.768421052631579 0.955263157894737 0.955263157894737 0.955263157894737 0.460526315789474 0.273684210526316 0.521052631578947 0.33421052631579 0.505263157894737 0.273684210526316 0.85 0.547368421052632 0.547368421052632 0.289473684210526 0.478947368421053 0.736842105263158 0.505263157894737 0.621052631578947 0.271052631578947
"A_MiscWildFaecalA_Peromyscus" 0.33421052631579 0.505263157894737 0.273684210526316 0.478947368421053 0.531578947368421 0.805263157894737 0.581578947368421 0.805263157894737 0.460526315789474 0.273684210526316 0.805263157894737 0.626315789473684 0.626315789473684 0.610526315789474 0.565789473684211 0.618421052631579 0.955263157894737 1 1 0.768421052631579 0.955263157894737 0.955263157894737 0.955263157894737 0.460526315789474 0.273684210526316 0.521052631578947 0.33421052631579 0.505263157894737 0.273684210526316 0.85 0.547368421052632 0.547368421052632 0.289473684210526 0.478947368421053 0.736842105263158 0.505263157894737 0.621052631578947 0.271052631578947
"A_MiscWildFaecalA_Raccoon" 0.386842105263158 0.621052631578947 0.415789473684211 0.594736842105263 0.584210526315789 0.663157894736842 0.771052631578947 0.663157894736842 0.576315789473684 0.415789473684211 0.663157894736842 0.7 0.7 0.726315789473684 0.681578947368421 0.760526315789474 0.813157894736842 0.768421052631579 0.768421052631579 1 0.813157894736842 0.813157894736842 0.813157894736842 0.486842105263158 0.415789473684211 0.663157894736842 0.386842105263158 0.621052631578947 0.415789473684211 0.707894736842105 0.647368421052632 0.647368421052632 0.389473684210526 0.373684210526316 0.594736842105263 0.578947368421053 0.515789473684211 0.423684210526316
